,name,nationality,clubName,ErrChance,ErrGoal,PossLostP90,OffsideP90
235,Naby Keïta,Guinea,Liverpool FC,0,0,11.05,0.10
236,Takumi Minamino,Japan,Liverpool FC,0,0,12.28,0.00
237,Djibril Sidibé,France,Everton FC,0,0,16.56,0.10
238,Fabinho,Brazil,Liverpool FC,1,0,10.15,0.00
239,Alexandre Lacazette,France,Arsenal FC,0,0,11.64,0.62
240,Anthony Martial,France,Manchester United FC,0,0,11.39,0.41
241,Abdoulaye Doucouré,France,Watford FC,0,0,14.32,0.17
242,Jean-Philippe Gbamin,Côte d’Ivoire,Everton FC,0,0,18.00,0.00
243,Allan Saint-Maximin,France,Newcastle United FC,0,0,15.76,0.14
244,Teemu Pukki,Finland,Norwich City FC,0,0,6.90,0.53
245,Virgil van Dijk,Netherlands,Liverpool FC,1,1,9.55,0.03
246,Ondrej Duda,Slovakia,Norwich City FC,0,0,13.58,0.24
247,Benjamin Mendy,France,Manchester City FC,1,2,14.50,0.06
248,Michy Batshuayi,Belgium,Chelsea FC,0,0,14.40,2.80
249,Nampalys Mendy,France,Leicester City FC,0,0,8.97,0.00
250,Neal Maupay,France,Brighton & Hove Albion FC,0,0,10.82,0.49
251,Georges N'Koudou,France,Tottenham Hotspur FC,0,0,,
252,N'Golo Kanté,France,Chelsea FC,0,1,13.97,0.00
253,Vicente Guaita,Spain,Crystal Palace FC,1,1,12.77,0.00
254,Javier Manquillo,Spain,Newcastle United FC,0,0,12.72,0.05
255,Borja Bastón,Spain,Aston Villa FC,0,0,,
256,Aymeric Laporte,France,Manchester City FC,1,0,7.17,0.00
257,Jonny Castro,Spain,Wolverhampton Wanderers FC,1,1,12.83,0.06
258,Yoshinori Mutō,Japan,Newcastle United FC,0,0,8.69,1.31
259,André Gomes,Portugal,Everton FC,0,0,11.90,0.00
260,Callum Robinson,Republic of Ireland,Sheffield United FC,0,0,10.25,0.14
261,Ørjan Nyland,Norway,Aston Villa FC,1,0,13.41,0.00
262,Emil Krafth,Sweden,Newcastle United FC,0,0,11.31,0.00
263,Andrii Yarmolenko,Ukraine,West Ham United FC,0,0,12.22,0.73
264,Fred,Brazil,Manchester United FC,0,0,14.38,0.05
265,Jan Bednarek,Poland,Southampton FC,1,3,12.19,0.00
266,Martin Dúbravka,Slovakia,Newcastle United FC,0,6,12.92,0.00
267,Dennis Praet,Belgium,Leicester City FC,1,0,12.26,0.08
268,Leander Dendoncker,Belgium,Wolverhampton Wanderers FC,1,1,8.87,0.00
269,Luka Milivojević,Serbia,Crystal Palace FC,4,0,14.75,0.04
270,Youri Tielemans,Belgium,Leicester City FC,0,0,15.18,0.04
271,Björn Engels,Belgium,Aston Villa FC,2,1,6.97,0.06
272,Christian Kabasele,Belgium,Watford FC,0,0,7.72,0.00
273,Arthur Masuaku,Congo DR,West Ham United FC,0,0,18.08,0.00
274,Roberto Jiménez,Spain,West Ham United FC,0,1,15.62,0.00
275,Baye Oumar Niasse,Senegal,Everton FC,0,0,,
276,Cenk Tosun,Turkey,Crystal Palace FC,0,0,11.39,0.39
277,Anwar El Ghazi,Netherlands,Aston Villa FC,1,0,14.28,0.52
278,Jaïro Riedewald,Netherlands,Crystal Palace FC,1,0,15.10,0.00
279,Richairo Živković,Netherlands,Sheffield United FC,0,0,7.57,0.00
280,Jürgen Locadia,Netherlands,Brighton & Hove Albion FC,0,0,,
281,Jetro Willems,Netherlands,Newcastle United FC,1,0,13.10,0.06
282,Davy Pröpper,Netherlands,Brighton & Hove Albion FC,1,2,13.49,0.00
283,Christoph Zimmermann,Germany,Norwich City FC,1,0,9.37,0.00
284,Dennis Srbeny,Germany,Norwich City FC,0,0,,
285,Pascal Groß,Germany,Brighton & Hove Albion FC,0,0,17.93,0.40
286,Marco Stiepermann,Germany,Norwich City FC,0,0,14.19,0.00
287,Tom Trybull,Germany,Norwich City FC,0,0,5.63,0.16
288,Jonathan Kodjia,Côte d’Ivoire,Aston Villa FC,0,0,14.60,0.00
289,Willy Boly,Côte d’Ivoire,Wolverhampton Wanderers FC,1,0,9.50,0.05
290,Sébastien Haller,France,West Ham United FC,0,0,15.23,0.72
291,Ibrahim Amadou,France,Norwich City FC,1,0,6.19,0.00
292,Romain Saïss,Morocco,Wolverhampton Wanderers FC,3,0,12.61,0.06
293,Sofiane Boufal,Morocco,Southampton FC,0,0,23.69,0.23
294,Lys Mousset,France,Sheffield United FC,0,0,13.52,1.17
295,Leandro Trossard,Belgium,Brighton & Hove Albion FC,0,0,15.87,0.18
296,Fikayo Tomori,England,Chelsea FC,2,0,11.28,0.07
297,Alisson,Brazil,Liverpool FC,1,1,4.42,0.00
298,Emerson,Italy,Chelsea FC,0,0,17.56,0.18
299,Joelinton,Brazil,Newcastle United FC,0,0,14.10,0.67
300,Lucas Moura,Brazil,Tottenham Hotspur FC,0,0,16.14,0.20
301,Ederson,Brazil,Manchester City FC,3,3,3.87,0.00
302,Stuart Armstrong,Scotland,Southampton FC,1,0,13.32,0.21
303,Michael McGovern,Northern Ireland,Norwich City FC,1,0,11.96,0.00
304,John McGinn,Scotland,Aston Villa FC,0,0,12.12,0.00
305,Kenny McLean,Scotland,Norwich City FC,0,0,15.08,0.03
306,Ignacio Pussetto,Argentina,Watford FC,0,0,,
307,Manuel Lanzini,Argentina,West Ham United FC,0,0,12.87,0.26
308,Jóhann Berg Guðmundsson,Iceland,Burnley FC,0,0,11.16,0.14
309,Steven Bergwijn,Netherlands,Tottenham Hotspur FC,0,0,10.49,0.00
310,David McGoldrick,Republic of Ireland,Sheffield United FC,0,0,13.62,0.59
311,Leon Clarke,England,Sheffield United FC,0,0,,
312,Dale Stephens,England,Brighton & Hove Albion FC,2,0,9.78,0.00
313,Simon Francis,England,AFC Bournemouth,0,0,13.45,0.00
314,Troy Deeney,England,Watford FC,0,0,17.20,0.49
315,Charlie Daniels,England,AFC Bournemouth,1,0,11.34,0.00
316,Matt Ritchie,Scotland,Newcastle United FC,1,0,17.30,0.00
317,Michail Antonio,England,West Ham United FC,0,0,18.34,0.61
318,Andre Gray,England,Watford FC,0,0,12.46,0.73
319,Callum Wilson,England,AFC Bournemouth,0,0,12.02,1.05
320,Steve Cook,England,AFC Bournemouth,1,0,10.49,0.04
321,Kieron Freeman,Wales,Sheffield United FC,0,0,,
322,Ryan Fraser,Scotland,AFC Bournemouth,0,0,16.10,0.05
323,Matt Doherty,Republic of Ireland,Wolverhampton Wanderers FC,2,0,17.33,0.10
324,James Tarkowski,England,Burnley FC,4,0,11.29,0.08
325,John Lundstram,England,Sheffield United FC,1,0,12.17,0.26
326,Charlie Taylor,England,Burnley FC,0,1,17.86,0.09
327,Will Hughes,England,Watford FC,0,0,13.01,0.04
328,Nick Pope,England,Burnley FC,0,1,16.77,0.00
329,Sam Byram,England,Norwich City FC,0,0,13.44,0.07
330,Jack O'Connell,England,Sheffield United FC,0,1,15.53,0.06
331,Ben Osborn,England,Sheffield United FC,0,0,13.91,0.15
332,Tyrone Mings,England,Aston Villa FC,2,3,9.98,0.06
333,Solomon March,England,Brighton & Hove Albion FC,2,0,18.38,0.15
334,Joe Gomez,England,Liverpool FC,1,0,12.20,0.00
335,Demarai Gray,England,Leicester City FC,0,0,17.02,0.44
336,Lewis Cook,England,AFC Bournemouth,1,0,14.92,0.00
337,Philip Billing,Denmark,AFC Bournemouth,0,0,15.28,0.07
338,Jack Stacey,England,AFC Bournemouth,1,0,15.16,0.05
339,David Martin,England,West Ham United FC,0,1,13.65,0.00
340,Chris Basham,England,Sheffield United FC,0,1,13.80,0.14
341,Conor Hourihane,Republic of Ireland,Aston Villa FC,0,0,12.52,0.23
342,George Baldock,England,Sheffield United FC,2,1,12.71,0.29
343,John Egan,Republic of Ireland,Sheffield United FC,3,1,7.79,0.03
344,Luke Freeman,England,Sheffield United FC,0,0,16.25,0.00
345,Jordan Pickford,England,Everton FC,2,4,12.74,0.00
346,Dele Alli,England,Tottenham Hotspur FC,2,0,16.28,0.29
347,Kortney Hause,England,Aston Villa FC,3,1,12.83,0.05
348,James Maddison,England,Leicester City FC,1,0,18.56,0.14
349,Josh Brownhill,England,Burnley FC,0,0,8.83,0.00
350,Oliver McBurnie,Scotland,Sheffield United FC,0,0,14.70,0.17
351,Adam Webster,England,Brighton & Hove Albion FC,1,1,12.34,0.00
